11 Gift of the Gemling Queen, each delve ring, 250 quant t17 100 deli possessed kosis, 12 large cluster 12 passive rare, dissolution of the flesh, 9 deafening sorrow, 20 maps 1000 strength, Full stack The Master Artisan, unnatural instinct, every talisman anointed, 20 Gemcutter's Prism, 20 fragmented incubator, kill kitava, 250 quant t17 uniques possessed kill map boss in ritual and kill them again, plus 4 hands of the high templar, 10 fenumal scorpion, 20 Farric Chieftain, forbidden taste, 20 maps main skill tagged channel, Double corrupted mageblood, ailment faster delve rare, bottled faith, ralakesh , hyrri's truth, 90 quant feared
the covenant, make a harbinger unique, exalted orb trinket, 20 maps main skill tagged slam, Full stack The Cache, Full stack The Journalist, impossible escape, 4.5 hour a10 scion, the dancing dervish, non catarina syndicate unique, shadows and dust, Full stack The Surgeon, kill kitava, 13 The Endurance, 100 abyss jewels, 5 temple mod rare chests, 3 gold oils, 20 maps with lightning main skill, 10 The Easy Stroll, 5 elegant hubris, 20 Saqawine Retch, sandstorm visage, 250 quant t17 uniques possessed kill map boss in ritual and kill them again, 10 6 mod abyss jewels, i83 omnitect at most 2 items equipped
Full stack The Harvester, Farrul First of the Plains, ryslatha's coil, 20 maps 100 suppression, 2 honourhome, 100 Orb of Chance, 20 Farric Ursa, Full stack The Body, plus 4 hands of the high templar, 20 Craicic Watcher, 1000 clear oil, The Fiend, kill kitava, omen of connections, echoes of creation, 20 tempering orbs, 10 Guardian's Challenge, 20 maps main skill tagged vaal, 20 Saqawine Retch, 20 craicic squid, bottled faith, 250 quant t17 80 deli unique bosses shrined kill uul netol, Full stack The Arena Champion, 250 deli splinters 1 map, t17 -20 all res 15 ele pen 2 phys as extra mods full map effect less than 50 remain and map clear
dead reckoning, 1 each rare cluster jewel size, 1 every corpse any perfection, kill farrul with only farrul uniques equipped, kill kitava with warden, kikazaru, piece of time, 250 quant t17 expedition archaeology verisium 2 rune finding full atlas except easy big boom put bomb in middle, ghostwrithe, dissolution of the flesh, immortal flesh, Full stack The Journalist, kill kitava, 10 darkness enthroned, sunblast, 5 transfigured gems that start with D, 1 sacred crystallized lifeforce, 4 hour a10 any duelist, kill kitava with pathfinder, 4 plume of pursuit, 12 large cluster 12 passive rare, 21 A Sea of Blue, 20 sacred orbs, 4 orb of conflict, 10 corrupted 6 links
badge of the brotherhood, 20 craicic squid, unnatural instinct, 40 primal incubator, 20 maps 1000 dex, profane proxy, dyadian dawn, 1000 transmutations, 50 quant feared with all release, 30 alva temples, equip one rogue with job speed in every slot, 10 megalomaniac, kill kitava, forbidden flame, 13 The Endurance, 4 hour a10 any templar, 2 hrimsorrow, 20 medium cluster 4 or 5 passive rare, purity of fire sublime, oriath's end, Full stack The Twins, 20 maps with 50 mana reservation efficiency, cherrubim's maleficence, 5 elegant hubris, pilfering scarab 1000 cards one boss
Full stack Lucky Connections, 4 ghost 80 deli chimera, 4 ghost 80 deli minotaur, 40 singular incubator, Black Morrigan, 33 The Opulent, 90 quant feared, 4 unique relics, Full stack Boon of Justice, the ivory tower, 5 transfigured gems that start with A, 20 maps dual wield attack main skill, kill kitava, voideye, Mahuxotl's Machination, matching forbidden jewels, 10 The Fathomless Depths, alpha's howl, vaal caress, 20 reflective oils, delve max number of minion mod, 10 gearsets of chaos recipe, 40 primal incubator, 20 maps 10k energy shield, ashes of the stars
4 hour a10 any templar, 20 priceless contract, 10 The Messenger, blunderbore, ceinture of benevolence, 5 black sun crest, 20 maps with 50 mana reservation efficiency, The Old Man, goldrim, every non trialmaster ultimatum unique, 7 ubers, headhunter, kill kitava, 5 glorious vanity, 27 deafening fear, 4 unique relics, 10 fenumal scorpion, 100 engineering orbs, 5 transfigured gems that start with B, Full stack The Carrion Crow, the magnate, 5 exceptional eldritch ember, 20 maps main skill tagged projectile, 250 quant t17 unique boss shrined and 4 ghosts, impossible escape
50 Lesser Eldritch Ember, 100 sepia oils, The Demon, 20 maps with temp minions main skill, 5 transfigured gems that start with B, 20 priceless contract, the light of meaning, bloodseeker, 1 each rare cluster jewel size, 13 Society's Remorse, 10 influenced non eldritch shields, immutable force, kill kitava, 10 darkness enthroned, plus 4 hands of the high templar, 250 quant t17 80 deli unique bosses shrined kill xoph, 3 large cluster jewel 3 notable, Full stack Chaotic Disposition, ashes of the stars, ghost feared valdo, 10 exalts, 20 maps with self cast main skill, 13 The Endurance, 90 quant feared, soulthirst
250 quant t17 80 deli unique bosses shrined kill beidat, 20 maps with attack main skill, 4.5 hour a10 any marauder, 11 No Traces, The Price of Devotion, 10 fenumal scorpion, 1 3 mod watcher's eye, doppelganger guise, praxis, every delirium unique jewel, immortal flesh, 5 every transfigured colour, kill kitava, 83 lycia, 80% deli t17 lt 50 remain and boss, oriath's end, bloodnotch, 20 maps main skill tagged movement or travel or blink, the covenant, 10 The Golden Era, 10 counter thaumatergy contract, 30 alva temples, windscream, profane proxy, 25 The Army of Blood
mark of the shaper and mark of the elder, 10 fenumal scorpion, The Old Man, 10 gearsets of chaos recipe, 4 law of the wilds, 20 maps with phys main skill, Full stack The Trial, 20 maps with 50 mana reservation efficiency, 1 of each colour legion jewel, ailment faster delve rare, 13 The Gambler, 250 quant t17 80 deli unique bosses possessed kill two harvest bosses, kill kitava, Full stack Rain Tempter, firesong, Full stack The Chains that Bind, goldwyrm, Mahuxotl's Machination, every t1 ritual base, 10 6 mod abyss jewels, 250 quant t17 expedition archaeology verisium 2 rune finding full atlas except easy big boom put bomb in middle, 90 quant feared, 1 fracturing orbs, 4 orb of conflict, 30 scouting reports
split personality, southbound, 10 The Union, 4 unique relics, 600 delve, 100 rare rings, 10 forbidden tome, the brass dome, 20 maps with triggered main skill, 10 ornate incubator, Full stack The Summoner, doppelganger guise, kill kitava, 20 maps with valid 0.1% league build, 5 transfigured gems that start with A, 50 embers, 10 split personality, 25 The Visionary, t16 rare monster with 8 essence 4 ghost 80 deli, imbalanced guard or unwavering stance impossible escape, taste of hate, kill farrul with only farrul uniques equipped, 10 gearsets of chaos recipe, 200 tainted whetstone, Farrul First of the Plains
100 Orb of Chance, 25 The Adventuring Spirit, omen of fortune, every attribute amulet anointed, 5 transfigured gems that start with D, 1 passive voices, 20 maps main skill tagged duration, Comprehensive Scouting Report, i83 catarina stand in green degen squares when they become available until end of fight, kill kitava with champion, pilfering scarab 1000 cards one boss, 5 fairgraves tricorn, kill kitava, 9 deafening hatred, cherrubim's maleficence, 4 unique relics, 3 gold oils, 40 chisels, 5 lethal pride, 250 quant t17 100 deli possessed omniphobia, dead reckoning, 1 each relic base type, soul tether, 40 primal incubator, 100 delirium orbs
20 maps main skill impending doom or prismatic burst or flamewood or frozen legion, blunderbore, 20 maps main skill tagged bow, wave 15 simulacrum, painseeker, forbidden flesh, 10 simulacrum, Mahuxotl's Machination, Saqawal First of the Sky, 5 transfigured gems that start with F, Full stack Struck by Lightning, 40 foreboding incubator, kill kitava, 20 vaal orbs, 250 quant t17 80 deli unique bosses shrined kill esh, 200 astragali, 250 quant t17 80 deli unique bosses shrined kill tul, one every curse on hit ring, 5 brutal restraint, matching forbidden jewels, oriath's end, 250 quant t17 80 deli unique bosses possessed kill two harvest bosses, vulconus, 20 craicic squid, 80 The Metalsmith's Gift
5 glorious vanity, 10 fenumal scorpion, oriath's end, 100 distinct uniques, 18 Time-Lost Relic, Mahuxotl's Machination, 10 catarina weapon veiled, Father's Love, Full stack The Trial, 10 6 mod abyss jewels, 20 maps dual wield attack main skill, 200 rolled currency t17 lt 50 remain, kill kitava, void valdo, the taming, bino's kitchen knife, march of the legion, the three dragons, 1 fracturing orbs, 5 transfigured gems that start with A, 20 maps with brands main skill, massive thread of hope, triple wisp t17 boss, every attribute amulet anointed, 11 The Heroic Shot
20 maps CI, 10 The Fathomless Depths, 10 simulacrum, 20 whispering incubator, 10 fenumal scorpion, 20 essence eradicator, doppelganger guise, 5 militant faith, defiance of destiny, Full stack The Fool, 1 any blueprint exclusive non replica unique, 20 maps cast on crit main skill, kill kitava, 600 delve, 4 orb of conflict, winterweave, Divine Justice, 7 hour act 10 new char, widowhail, 10k of each harvest juice, double anointed amulet each anoint at least one gold, 50 accelerating catalyst, 4.5 hour a10 like leaguestart, Comprehensive Scouting Report, 10 craicic vassal
forbidden flesh, 250 quant t17 blightheart blooming invigoration full atlas except easier nodes, torchoak step, 5 transfigured gems that start with B, oriath's end, 12 large cluster 12 passive rare, Full stack The Inventor, 10 corrupted 6 links, sin trek, Unrequited Love, 1 each rare cluster jewel size, 20 maps with attack main skill, kill kitava, ralakesh , kaom's roots, 20 whispering incubator, Full stack Lucky Connections, 250 quant t17 expedition archaeology verisium 2 rune finding full atlas except easy big boom put bomb in middle, 5 every transfigured colour, 13 The Valkyrie, kill kitava with guardian, t16 rare monster with 8 essence 4 ghost 80 deli, inspired learning, 19 The Cache, 6 tainted fusing
5 transfigured gems that start with A, kill kitava with necromancer, astramentis, lab unique, 200 tainted whetstone, ashes of the stars, 4 grasping mail, 7 ubers, voideye, thousand ribbons, fractured delve mod, 50 accelerating catalyst, kill kitava, 20 Fenumal Devourer, 20 maps with trap main skill, mark of the shaper and mark of the elder, 5 Singular Scouting Report, plus 7 gloves, 50 ichors, 10 facetor's lens, 6 tainted fusing, 20 omen of refreshment, 250 quant t17 unique boss shrined and 4 ghosts, 250 quant t17 80 deli unique bosses shrined kill k'tash, poorjoy's asylum
Fenumus First of the Night, ailment faster delve rare, tabula rasa, 1 flawless xoph, dissolution of the flesh, Full stack Alone in the Darkness, Full stack The Explorer, 20 maps main skill tagged movement or travel or blink, Full stack The Stormcaller, 250 quant t17 100 deli possessed kosis, fully unlock and equip relic altar, The Insane Cat, kill kitava, 10 6 mod abyss jewels, Full stack Boon of Justice, maven witness uber elder, sandstorm visage, 20 maps with perma minions main skill, 10 double corrupted uniques, 20 Saqawine Retch, 10 fenumal scorpion, 250 quant t17 80 deli unique bosses shrined kill xoph, 5 every transfigured colour, taste of hate, Full stack The Master Artisan
the light of meaning, The Fiend, southbound, 250 quant t17 80 deli unique bosses shrined kill beidat, vaal caress, Full stack The Fool, every talisman anointed, 5 every transfigured colour, 4 grasping mail, doppelganger guise, 66 The Flora's Gift, non massive thread of hope, kill kitava, 20 maps 85 max res, 10 counter thaumatergy contract, kill saqawal only wearing saqawal uniques, forbidden flame, i83 catarina stand in green degen squares when they become available until end of fight, 5 legion 5 ways, every attribute amulet anointed, 11 The Hoarder, sunblast, 20 maps main skill tagged vaal, nebuloch, each unique heist contract
4 sac frag rare 5+ mod indigo+ 9 anoint blight ravaged, 20 maps main skill tagged chaining, Full stack Alone in the Darkness, 10 The Beast, forbidden flame, fractured delve mod, 10 gearsets of chaos recipe, triple nonnegative leadership's price, bloodnotch, krillson, 20 maps 2h attack main skill, 1 each rare cluster jewel size, kill kitava, 250 quant t17 80 deli unique bosses shrined kill uul netol, 40 abyss incubator, lavianga's spirit, 4 orb of conflict, 20 offering to the goddess, sibyl's lament, 250 quant t17 100 deli possessed kosis, tainted divine teardrop, whakawairua tuahu, 250 quant t17 80 deli unique bosses shrined and possessed domination scarab of terrors 9 shrines 0 remain, 100 delirium orbs, 20 Saqawine Retch
13 The Twins card, 10 perception contract, 10 split personality, 4 orb of conflict, 20 maps with mine main skill, carnage heart, 13 Acclimatisation, berek's pass, Full stack Acclimatisation, 10 counter thaumatergy contract, orb of dominance, 3 same grand spectrum, kill kitava, Full stack Cartographer's Delight, 20 maps main skill tagged curse, 250 quant t17 80 deli unique bosses shrined kill k'tash, 3 gold oils, mark of the shaper and mark of the elder, 28 Dark Temptation, 250 quant t17 full spec harbinger atlas scarabs: regency nemeses 3 harbinger, 5 glorious vanity, aegis aurora, gloomfang, 40 primal incubator, i83 omnitect at most 2 items equipped
beltimber blade, 5 militant faith, 13 The Skeleton, firesong, 13 The Surveyor, 20 essence constrictor, minions are aggressive delve rare, 3 gold oils, ashes of the stars, 20 ancient orbs, 10 non bench suppress items, kill kitava with inquisitor, kill kitava, karui ward, forbidden flame, equip max all res max aoe string of servitude on level 2 character, voice of the storm, every breach jewel, 4 ghost 80 deli chimera, 1 fracturing orbs, 20 priceless contract, the fourth vow, 250 quant t17 80 deli unique bosses shrined kill uul netol, kill kitava with saboteur, ilvl 87 rare
3x t1 ele or 3x t1 phys bow 6 link +2 arrows t1 attack speed t1 crit chance corrupted with momentum or faster projectiles, 21 The Survivalist, Full stack The Sword King's Salute, 1 each rare cluster jewel size, 10 omen of amelioration, piece of time, 500 fusings, oriath's end, 20 Saqawine Retch, death rush, 20 maps dual wield attack main skill, firesong, kill kitava, cold iron point, 200 tainted armourer's, 250 quant t17 100 deli possessed kosis, 250 quant t17 80 deli unique bosses shrined and possessed domination scarab of terrors 9 shrines 0 remain, 80% deli t17 lt 50 remain and boss, queen of the forest, stormcharger, forbidden flame, 3 the oppressor, 20 Farric Ape, 20 maps main skill tagged nova, 5 militant faith
4 ghost 80 deli phoenix, 250 deli splinters 1 map, 200 tainted armourer's, ashes of the stars, 20 craicic squid, forbidden flame, 13 The Wolf, 5 brutal restraint, 20 maps CI, cloak of flame, conquest lamellar 80% sacred 29+ qual t1 flat t1 inc t1 inc + stun or global defences t1 suppress t1 pdr t1 chaos 90% divine suffixes perfect divine implicits 28% grace effect 19% aura effect, full gearset influenced items, kill kitava, kill kitava with occultist, oskarm, Full stack The Dragon, 50 tainted mythic orb, sin trek, anathema, Otherworldly Scouting Report, 5 transfigured gems that start with D, Full stack The Tireless Extractor, 16 The Gladiator, every delirium unique jewel, i83 catarina stand in green degen squares when they become available until end of fight
massive thread of hope, 5 abyss jewel es regen per sec, Full stack Alone in the Darkness, 20 essence eradicator, 40 unmakings, 20 Farric Chieftain, willclash, 2x i68 amethyst ring, 20 abyss jewels with t1 es, 20 maps main skill tagged herald, replica baited breath, kill farrul with only farrul uniques equipped, kill kitava, dyadian dawn, 5 transfigured gems that start with B, 20 ancient orbs, 20 maps main skill tagged bow, lioneye's fall, 40 singular incubator, 250 quant t17 80 deli unique bosses shrined kill xoph, dying sun, minions are aggressive delve rare, every attribute amulet anointed, 4 grasping mail, forbidden flame
5 temple mod rare hats, 4 grasping mail, abyss jewel i84 exclusive mod, 20 maps main skill tagged retaliation, 10 aberrant fossil, the magnate, the brass dome, elemental penetration support, delve max number of minion mod, kill kitava with warden, 10 perception contract, clear hall of the grandmasters, kill kitava, void valdo, Full stack Mitts, Full stack Acclimatisation, equip max all res max aoe string of servitude on level 2 character, ashes of the stars, the light of meaning, oriath's end, Fenumus First of the Night, 20 craicic squid, 250 quant t17 80 deli unique bosses shrined kill k'tash, death's oath, hallowed ground
5 way 4 unrelenting 3 layers of rewards, 10 forbidden tome, 10 skittering incubator, Full stack The Rabid Rhoa, 20 maps main skill impending doom or prismatic burst or flamewood or frozen legion, 20 maps spellslinger main skill, chaos orb an item, immutable force, 10 simulacrum, 20 medium cluster 4 or 5 passive rare, Full stack The King's Blade, full gearset influenced items, kill kitava, the fourth vow, 20 prismatic catalyst, Love Through Ice, kill saqawal only wearing saqawal uniques, mark of the shaper and mark of the elder, doppelganger guise, ondar's clasp, 40 primal incubator, 12 pragmatism, 20 tempering orbs, kill craiccean only wearing craiceann uniques, voice of the storm
the overflowing chalice, Full stack The Scholar, 1 each relic base type, impossible escape, 20 tempering orbs, 10 craicic vassal, 10 carto incubator, bones of ullr, 250 quant t17 blightheart blooming invigoration full atlas except easier nodes, 12 pragmatism, 600 delve, equip one rogue with job speed in every slot, kill kitava, 10k of each harvest juice, kill kitava with necromancer, 20 Fenumal Queen, death rush, 50 quant feared with all release, Angler's plait, 10 fenumal scorpion, 200 astragali, 20 maps main skill tagged curse, death and taxes, rathpith globe, Full stack Rain Tempter
10 megalomaniac, Full stack Society's Remorse, 5 lethal pride, 10 opulent fossil, haemophilia, divine orb a dragonfang you dropped, 20 maps main skill tagged chaining, forbidden flame, 20 medium cluster 4 or 5 passive rare, Black Morrigan, 10 temple mod rare weapon, triple wisp t17 boss, kill kitava, 20 vaal orbs, plus 4 hands of the high templar, 100 alchemy orbs, void valdo, 3 same grand spectrum, 20 maps main skill tagged arcane, 50 quant feared with all release, 100 chaos orbs, 20 Farric Ape, 200 astragali, infused beachhead, bino's kitchen knife
House of Mirrors, make a harbinger unique, forbidden flesh, the whispering ice, 5 temple mod rare chests, 200 tainted whetstone, double anointed amulet each anoint at least one gold, 80% deli t17 lt 50 remain and boss, 20 aetheric fossil, Full stack Time-Lost Relic, brightbeak, 27 deafening fear, kill kitava, 50 quant feared with all release, 64 large cluster 8 passive rare, 20 maps main skill tagged curse, 20 maps with perma minions main skill, Full stack Assassin's Favour, 4.5 hour a10 any marauder, triple nonnegative leadership's price, kintsugi, mark of the shaper and mark of the elder, Full stack Destined to Crumble, 20 reflective oils, 10 double corrupted uniques
20 maps with trap main skill, legacy of fury, 134 Emperor's Luck, 200 astragali, tabula rasa, voices, 20 medium cluster 4 or 5 passive rare, 12 pragmatism, 13 Chaotic Disposition, rare with glimpse of chaos implicit, triple wisp t17 boss, forbidden flesh, kill kitava, 20 blood filled vessel, dissolution of the flesh, the three dragons, voice of the storm, 20 maps main skill tagged critical, double corrupted headhunter, every talisman anointed, 250 quant t17 80 deli unique bosses possessed kill two harvest bosses, pilfering scarab 1000 cards one boss, 20 Farric Chieftain, triple nonnegative leadership's price, 10 non bench suppress items
The Insane Cat, 250 quant t17 uniques possessed kill map boss in ritual and kill them again, 3 gold oils, 20 maps bleed or poison main skill, lab unique, 250 quant t17 80 deli unique bosses shrined kill chayula, southbound, 40 scrap metal, Full stack Vinia's Token, massive thread of hope, 20 maps 1000 int, 10 forbidden tome, kill kitava, 13 The Watcher, impossible escape, 100 delirium orbs, 1000 Orb of Transmutation, synth same implicit but worse, matching damage and multi cane of kulemak, Full stack Assassin's Favour, 4 hour a10 any ranger, 28 The Demoness, 12 large cluster 12 passive rare, 5 glorious vanity, Full stack The Skeleton
stormcharger, 250 quant t17 uniques possessed kill map boss in ritual and kill them again, double corrupted bloodseeker, 100 engineering orbs, 20 ancient orbs, 4 plume of pursuit, Full stack The Tireless Extractor, headhunter, 20 maps with totem main skill, 100x onyx amulet, 30 alva temples, sunblast, kill kitava, 12 pragmatism, dissolution of the flesh, 20 maps 10k energy shield, 10k of each harvest juice, 250 quant t17 all beast nodes all essence nodes kill 4 red beasts 4+ essenced, the tides of time, 30 rare with essence mod, 1000 sepia oil, the overflowing chalice, 40 foreboding incubator, delve curse on hit ring, 300 quant t17 full spec ultimatum completed
kill kitava with warden, 200 astragali, hinekora's lock, 250 quant t17 80 deli unique bosses possessed full rogue exile atlas scarabs: titanic 2 treasures 2 legend, 3 passive voices, kill farrul with only farrul uniques equipped, i83 omnitect at most 2 items equipped, thief's torment, taste of hate, 10 The Fortunate, 20 maps 50k armour, 10 fundamental fossil, kill kitava, bottled faith, 5 glorious vanity, 20 omen of refreshment, 100 Orb of Fusing, maelstrom of chaos, windscream, sandstorm visage, 200 tainted armourer's, 2 the wasp nest, 20 reflective oils, 20 abyss jewels with t1 es, 1 each relic base type
necrotic 80% sacred 29+ qual t1 flat t1 inc t1 inc + stun or global defences t1 suppress t1 int or dex inc attributes prefixes 90% divine suffixes perfect divine implicits 1% less damage take per 180 corresponding attribute 15% aura effect, Full stack Dark Temptation, 20 essence enslaver, dissolution of the flesh, 5 glorious vanity, 50 tainted mythic orb, 5 elegant hubris, 4 ghost 80 deli chimera, 250 quant t17 80 deli unique bosses shrined and possessed domination scarab of terrors 9 shrines 0 remain, badge of the brotherhood, 5 xoph breachstone, 20 omen of refreshment, kill kitava, 28 The Demoness, marylene's fallacy, 20 maps cast on crit main skill, witchfire brew, 4 the felbog fang, 20 maps CI, additional merchant choice relic, 10 fenumal scorpion, Full stack The Catalyst, 100 chaos orbs, 4 orb of conflict, 20 small cluster jewel rare
100 distinct uniques, 13 The Surveyor, 8 mod t16, 20 essence purifier, make a harbinger unique, 250 quant t17 uniques possessed kill map boss in ritual and kill them again, 3 gold oils, 10 simulacrum, 30 alva temples, 13 Azure Rage, hyrri's ire, astramentis, kill kitava, 20 maps 7000 mana, 10 jewels unique with implicit or rare with implicit and life explicit, 4 ghost 80 deli hydra, 1 of each temple resistance, every delirium unique jewel, 1 each relic base type, haemophilia, Divine Justice, 20 maps with phys main skill, ashes of the stars, 3x watcher's eye, Full stack Assassin's Favour
The Old Man, 5 transfigured gems that start with C, 50 noxious catalyst, Saqawal First of the Sky, ancestral vision, 10 deception contract, 20 life 30 rarity 5 rmr +60 total resistance ventor's, 250 quant t17 80 deli unique bosses shrined kill uul netol, iron commander, Full stack The Blazing Fire, 3 blue woke gems, 5 glorious vanity, kill kitava, forbidden flesh, mark of the shaper and mark of the elder, 13 Left to Fate, deerstalker, Full stack The Army of Blood, 20 Farric Ursa, 20 maps with triggered main skill, 250 quant t17 uniques possessed kill map boss in ritual and kill them again, 11 The Drunken Aristocrat, kill kitava with guardian, ghost feared valdo, the restless ward
divine orb, 5 every transfigured colour, The Price of Devotion, rare with glimpse of chaos implicit, 4 orb of conflict, the fourth vow, 11 The Dapper Prodigy, gloomfang, 11 The Poet, 250 quant t17 expedition archaeology verisium 2 rune finding full atlas except easy big boom put bomb in middle, megalomaniac, 250 deli splinters 1 map, kill kitava, 20 maps main skill tagged critical, 12 large cluster 12 passive rare, 1 of each colour legion jewel, 20 maps main skill tagged slam, 50 tainted mythic orb, obscurantis, 3 gold oils, 18 The Inoculated, 20 essence enslaver, 20 Farric Ursa, forbidden flame, chaos orb an item
10 megalomaniac, 20 frigid fossil, 2 curse impresence or soul ascension or eternity shroud, 6 tainted fusing, Full stack The Visionary, 200 tainted whetstone, 20 maps main skill tagged orb, profane proxy, 90 quant feared, Full stack The Scholar, every delirium unique jewel, 20 Struck by Lightning, kill kitava, cold iron point, karui ward, 250 quant t17 80 deli unique bosses shrined kill tul, massive thread of hope, the magnate, 250 quant t17 100 deli possessed kosis, the iron fortress, 100 adorned, kill kitava with inquisitor, 5 brutal restraint, 17 The Stormcaller, 10 deception contract
Full stack Emperor's Luck, 11 Humility, 5 transfigured gems that start with C, 40 primal incubator, 17 The Dragon, cold iron point, 20 omen of refreshment, astramentis, 4 grasping mail, 250 quant t17 blightheart blooming invigoration full atlas except easier nodes, the hateful accuser, 10 omen of amelioration, kill kitava, massive thread of hope, 5 transfigured gems that start with D, Full stack Dark Temptation, 4.5 hour a10 scion, 20 Saqawine Retch, hateforge, 20 maps main skill tagged critical, kill kitava with necromancer, 90 quant feared, forbidden flesh, 2 kalisa's grace, 5 black sun crest
The Insane Cat, 9 deafening spite, piece of storms, snakepit, elemental penetration support, 5 Influenced Scouting Report, 20 maps with self cast main skill, 1 each relic base type, 80% deli t17 lt 50 remain and boss, 30 alva temples, 20 omen of refreshment, carcass jack, kill kitava, t17 -20 all res 15 ele pen 2 phys as extra mods full map effect less than 50 remain and map clear, 250 quant t17 100 deli possessed omniphobia, 18 deafening torment, immutable force, Full stack Doedre's Madness, 10k of each harvest juice, 18 Time-Lost Relic, 5 transfigured gems that start with D, 4 grasping mail, headhunter, dissolution of the flesh, kill kitava with berserker
5 elegant hubris, 100 omen of return, t17 -20 all res 15 ele pen 2 phys as extra mods full map effect less than 50 remain and map clear, 20 Fenumal Queen, 20 priceless contract, Full stack The Skeleton, Full stack The Twins, rakiata's dance, plus 4 hands of the high templar, 50 Lesser Eldritch Ember, 20 maps main skill tagged bow, 3x t1 ele or 3x t1 phys sword 6 link t1 attack speed t1 crit chance double damage chance implicits crits ignore ele res and corrupted with fortify or resolute technique, kill kitava, piece of directions, badge of the brotherhood, 250 quant t17 80 deli unique bosses shrined kill xoph, 20 Farric Ape, 5 unique maps, 8 mod t17, 20 Explorer's Scouting Report, 27 deafening fear, 22 The Explorer, kill kitava with occultist, every delirium unique jewel, 2 curse impresence or soul ascension or eternity shroud
caer blaidd, 7 ubers, 5 militant faith, 20 maps 10k energy shield, omen of fortune, kill farrul with only farrul uniques equipped, 5 upgraded breach unique, i83 sanctum hitless: allocate eb and ci or have no es and reserve 99% life or ci and some % of damage bypasses es, chaos orb an item, 10 janus helm veiled, 3x t1 ele or 3x t1 phys bow 6 link +2 arrows t1 attack speed t1 crit chance corrupted with momentum or faster projectiles, 100 chaos orbs, kill kitava, mark of the shaper and mark of the elder, 20 maps main skill tagged duration, Full stack Thunderous Skies, ichimonji, 10 tailoring orbs, 4 grasping mail, 10 craicic vassal, 10k of each harvest juice, 21 Thirst for Knowledge, melding of the flesh, 10 simulacrum, forbidden flame
22 Boon of Justice, echoes of creation, kaom's sign, shavronne's revelation, 250 quant t17 80 deli unique bosses shrined kill xoph, incandescent heart, 4 ghost 80 deli chimera, 20 maps main skill tagged movement or travel or blink, 100 engineering orbs, 3 large cluster jewel 3 notable, 350 Jeweller's Orb, hyrri's truth, kill kitava, the covenant, ashes of the stars, 9 deafening loathing, 10 tailoring orbs, Unrequited Love, 10 megalomaniac, 20 tainted chrome, 100 abyss jewels, 10 The Insatiable, 20 maps main skill tagged chaining, clear hall of the grandmasters, Full stack The Army of Blood
4 ghost 80 deli phoenix, 250 quant t17 2 scarab of wisps and natural wildwood 3k wisps less than 50 remain and map clear, cloak of flame, 50 replica uniques, lightning coil, 20 maps main skill tagged channel, bones of ullr, forbidden flesh, 10 fenumal scorpion, 50 Lantador's Lost Love, oriath's end, 100 chaos orbs, kill kitava, kill kitava with warden, 20 Farric Ursa, non massive thread of hope, 500 fusings, blight unique, 20 Farric Chieftain, matching balance of terror, delve curse on hit ring, kill saqawal only wearing saqawal uniques, 100 Orb of Chance, valako's sign, Saqawal First of the Sky
kill kitava with saboteur, the whispering ice, 200 astragali, dissolution of the flesh, 13 The Risk, 10 forbidden tome, 5 elritch exalt, marohi erqi, Full stack The Aesthete, 250 quant t17 80 deli unique bosses shrined kill esh, bronn's lithe, shadowstitch, kill kitava, 20 maps main skill tagged retaliation, delve max number of minion mod, 3 full set veiled items, plus 4 hands of the high templar, Full stack The Wrath, 4 ghost 80 deli hydra, 20 omen of refreshment, caer blaidd, 5 brutal restraint, conquest lamellar 80% sacred 29+ qual t1 flat t1 inc t1 inc + stun or global defences t1 suppress t1 pdr t1 chaos 90% divine suffixes perfect divine implicits 28% grace effect 19% aura effect, 250 quant t17 all beast nodes all essence nodes kill 4 red beasts 4+ essenced, 10 simulacrum
piece of the arcane, mark of the shaper and mark of the elder, timeclasp, 13 The Risk, kintsugi, 3 large cluster jewel 3 notable, 10 fenumal scorpion, lioneye's fall, 10 counter thaumatergy contract, 10 carto incubator, 10 otherwordly incubator, 20 maps main skill tagged nova, kill kitava, 4 hour a10 any templar, make a harbinger unique, 3x t1 ele warstaff t1 attack speed t1 crit chance double damage chance corrupted with 2x t1 ele, call of the brotherhood, Full stack The Skeleton, Full stack The Inventor, Craiceann First of the Deep, marylene's fallacy, clear hall of the grandmasters, 20 maps with brands main skill, triple wisp t17 boss, 1 each relic base type
incandescent heart, kill kitava with inquisitor, 20 maps 7000 mana, ashes of the stars, 20 Saqawine Retch, 13 Acclimatisation, every attribute amulet anointed, 250 quant t17 80 deli unique bosses shrined kill beidat, 250 quant t17 abyss profound depth full atlas, 10 fenumal scorpion, piece of brutality, the brass dome, kill kitava, The Demon, 5 transfigured gems that start with F, 250 quant t17 unique boss shrined and 4 ghosts, Full stack Cartographer's Delight, 20 life 30 rarity 5 rmr +60 total resistance ventor's, 5 legion 5 ways, Full stack The Scarred Meadow, cherrubim's maleficence, 1 each relic base type, 50 unstable catalyst, 10 corrupted 6 links, 100 chaos orbs
